Date,Open,High,Low,Close,Volume,Adj Close
2013-04-08,3.42,3.50,3.27,3.29,5359600,3.29
2013-04-05,3.79,3.79,3.42,3.46,9246300,3.46
2013-04-04,3.51,3.68,3.42,3.45,6667800,3.45
2013-04-03,3.32,3.57,3.29,3.50,8840200,3.50
2013-04-02,3.46,3.46,3.31,3.31,6224800,3.31
2013-04-01,3.50,3.58,3.48,3.52,3596400,3.52
2013-03-28,3.51,3.55,3.47,3.51,3664300,3.51
2013-03-27,3.65,3.67,3.50,3.51,6630200,3.51
2013-03-26,3.60,3.64,3.47,3.51,8167600,3.51
2013-03-25,3.61,3.88,3.54,3.70,11116700,3.70
2013-03-22,3.74,3.86,3.69,3.77,11585800,3.77
2013-03-21,3.84,3.91,3.70,3.81,11569200,3.81
2013-03-20,3.89,3.91,3.65,3.69,15920200,3.69
2013-03-19,3.99,4.44,3.94,4.03,25932900,4.03
2013-03-18,4.30,4.31,3.98,4.22,16443600,4.22
2013-03-15,3.95,4.06,3.86,3.92,8911400,3.92
2013-03-14,3.91,4.00,3.87,3.91,10256300,3.91
2013-03-13,3.99,4.13,3.91,4.00,10075400,4.00
2013-03-12,3.91,4.20,3.84,4.01,12059600,4.01
2013-03-11,4.16,4.19,3.87,3.90,15289800,3.90
2013-03-08,4.12,4.35,4.08,4.15,10709600,4.15
2013-03-07,4.34,4.42,4.22,4.23,9035700,4.23
2013-03-06,4.20,4.53,4.20,4.38,8503300,4.38
2013-03-05,4.28,4.41,4.22,4.30,11279100,4.30
2013-03-04,5.21,5.28,4.59,4.62,12919000,4.62
2013-03-01,5.38,5.60,4.92,5.08,18210800,5.08
2013-02-28,4.70,4.94,4.55,4.90,12770600,4.90
2013-02-27,5.43,5.55,4.55,4.69,13593100,4.69
2013-02-26,5.50,6.17,5.20,5.39,31471900,5.39
2013-02-25,4.25,5.76,4.13,5.65,17762000,5.65
2013-02-22,4.61,4.77,4.50,4.52,5077300,4.52
2013-02-21,4.70,5.15,4.65,4.78,15617000,4.78
2013-02-20,4.06,4.71,4.03,4.65,8610200,4.65
2013-02-19,4.32,4.33,4.00,4.03,5724700,4.03
