Date,Open,High,Low,Close,Volume,Adj Close
2013-01-22,11.58,12.00,10.77,10.87,1023100,108.70
2013-01-18,13.00,13.16,11.44,11.56,1696200,115.60
2013-01-17,12.75,13.26,12.66,13.25,924600,132.50
2013-01-16,13.47,13.61,12.84,13.12,1063200,131.20
2013-01-15,14.04,14.13,13.44,13.67,900100,136.70
2013-01-14,14.09,14.32,13.57,13.73,1073900,137.30
2013-01-11,14.30,14.65,14.13,14.16,838300,141.60
2013-01-10,14.44,14.88,14.22,14.27,1044300,142.70
2013-01-09,14.47,15.26,14.40,14.98,897000,149.80
2013-01-08,15.11,15.64,14.84,14.96,1172800,149.60
2013-01-07,15.70,15.95,15.15,15.27,1062000,152.70
2013-01-04,15.92,16.07,15.17,15.30,1167400,153.00
2013-01-03,16.10,16.45,15.41,15.93,1338800,159.30
2013-01-02,16.72,17.84,16.02,16.07,1278800,160.70
2012-12-31,28.62,29.20,20.25,20.90,1393000,209.00
2012-12-28,26.65,27.90,25.33,27.54,1191200,275.40
2012-12-27,24.95,28.28,24.42,25.03,1529500,250.30
2012-12-26,23.35,25.15,23.21,25.07,697900,250.70
2012-12-24,22.63,23.18,22.41,22.55,366900,225.50
2012-12-21,23.97,24.11,22.59,23.28,1320800,232.80
2012-12-20,19.51,20.82,19.24,20.57,848100,205.70
2012-12-19,17.57,19.68,17.56,19.63,1108700,196.30
2012-12-18,18.43,18.62,17.34,17.60,943600,176.00
2012-12-17,20.60,20.65,19.00,19.05,653200,190.50
2012-12-14,20.37,20.98,20.14,20.46,683900,204.60
2012-12-13,19.38,20.80,19.17,20.17,822200,201.70
2012-12-12,18.40,19.55,18.20,19.46,879600,194.60
2012-12-11,19.35,19.64,18.54,18.54,858000,185.40
2012-12-10,19.71,20.22,19.46,19.88,406000,198.80
2012-12-07,20.13,21.10,19.28,19.38,693700,193.80
2012-12-06,20.33,21.16,20.19,20.80,661100,208.00
2012-12-05,21.07,22.06,20.14,20.41,839800,204.10
2012-12-04,20.66,21.68,20.07,21.07,902800,210.70
2012-12-03,18.61,20.50,18.56,20.36,851400,203.60
2012-11-30,18.59,19.99,18.58,19.57,745200,195.70
2012-11-29,18.87,19.80,18.70,18.91,980900,189.10
2012-11-28,21.35,22.20,19.33,19.47,1267700,194.70
2012-11-27,19.56,20.73,19.22,20.56,1048000,205.60
2012-11-26,20.91,21.17,19.77,19.78,748400,197.80
2012-11-23,21.04,21.41,20.18,20.20,382000,202.00
2012-11-21,21.61,22.45,20.92,22.05,514000,220.50
2012-11-20,22.03,22.78,21.66,21.75,836500,217.50
2012-11-19,25.34,25.45,22.59,22.64,1046100,226.40
2012-11-16,29.35,31.48,27.22,27.37,1092400,273.70
2012-11-15,29.42,31.93,28.37,30.05,1086700,300.50
2012-11-14,26.14,30.38,25.94,29.41,1124200,294.10
2012-11-13,28.85,29.20,26.25,27.66,989900,276.60
2012-11-12,30.87,30.93,27.41,27.60,825400,276.00
2012-11-09,32.36,32.49,29.72,31.70,729500,317.00
2012-11-08,31.20,32.10,29.70,31.72,865500,317.20
2012-11-07,28.40,32.10,28.01,31.34,1232300,313.40
2012-11-06,28.70,29.31,26.40,27.00,788500,270.00
2012-11-05,28.91,30.68,28.56,29.17,666200,291.70
2012-11-02,26.12,28.44,25.94,28.18,926900,281.80
2012-11-01,31.50,31.65,26.90,26.90,764800,269.00
2012-10-31,29.74,32.82,29.62,32.07,500000,320.70
2012-10-26,31.14,32.67,30.05,30.93,699600,309.30
2012-10-25,30.66,32.79,30.33,31.10,800400,311.00
2012-10-24,31.58,33.42,31.37,32.95,710900,329.50
2012-10-23,31.36,33.42,31.00,32.65,895300,326.50
2012-10-22,28.78,30.53,28.16,28.24,816200,282.40
2012-10-19,26.12,29.51,26.06,28.96,1047000,289.60
2012-10-18,26.11,26.44,25.04,25.63,868500,256.30
2012-10-17,26.48,27.00,25.50,25.80,562100,258.00
2012-10-16,26.80,27.27,26.22,26.49,660500,264.90
2012-10-15,29.36,30.61,27.60,27.79,648200,277.90
2012-10-12,28.43,30.25,27.86,29.79,730700,297.90
2012-10-11,29.27,29.79,28.53,29.38,645300,293.80
2012-10-10,30.25,31.60,29.78,30.15,690300,301.50
2012-10-09,28.55,31.16,28.26,30.82,755700,308.20
2012-10-08,28.61,29.04,27.90,28.46,394100,284.60
