Date,Open,High,Low,Close,Volume,Adj Close
2010-11-04,58.44,59.69,57.93,59.61,14440000,29.81
2010-11-03,55.00,55.63,53.02,55.46,23244400,27.73
2010-11-02,53.50,54.90,52.64,54.84,14809000,27.42
2010-11-01,53.61,54.61,50.52,51.62,25179000,25.81
2010-10-29,51.76,53.48,51.66,52.63,18569000,26.32
2010-10-28,54.41,54.50,51.51,52.26,27265200,26.13
2010-10-27,52.45,53.48,51.01,53.18,25599000,26.59
2010-10-26,52.84,54.65,52.00,53.61,19193800,26.81
2010-10-25,53.93,55.50,53.46,53.68,18253200,26.84
2010-10-22,52.19,52.91,51.59,52.74,17428200,26.37
2010-10-21,53.36,54.50,49.80,51.84,29799200,25.92
2010-10-20,51.79,53.46,51.18,52.57,23646200,26.28
2010-10-19,52.21,53.90,49.80,51.01,33533800,25.50
2010-10-18,53.44,54.49,52.81,54.27,16631800,27.14
2010-10-15,54.85,55.08,52.02,52.97,29482800,26.49
2010-10-14,53.64,54.42,52.02,53.49,24890600,26.75
2010-10-13,52.28,54.82,51.81,53.54,20133200,26.77
2010-10-12,50.44,51.87,48.85,51.34,20594800,25.67
2010-10-11,50.86,51.98,50.42,50.88,12903400,25.44
2010-10-08,49.08,51.52,48.32,50.77,21890800,25.39
2010-10-07,50.18,50.29,47.81,48.91,17999400,24.45
2010-10-06,49.67,50.24,48.49,49.31,19125000,24.66
2010-10-05,47.42,50.14,46.50,49.75,24827200,24.88
2010-10-04,47.48,48.36,44.98,45.91,28201200,22.95
2010-10-01,48.45,48.65,46.57,47.85,24776400,23.92
2010-09-30,48.50,49.33,45.95,47.06,34082000,23.53
2010-09-29,46.83,48.05,46.30,47.53,24782000,23.76
2010-09-28,45.96,47.33,43.50,47.00,26406000,23.50
2010-09-27,46.07,46.40,45.07,45.73,17983600,22.86
2010-09-24,43.79,46.16,43.56,46.02,21806600,23.01
2010-09-23,42.53,44.50,41.57,41.98,26929400,20.99
2010-09-22,44.76,45.69,42.55,43.49,28590600,21.75
2010-09-21,45.97,46.82,44.94,45.12,27608200,22.56
2010-09-20,42.84,46.31,41.94,45.99,22326000,23.00
2010-09-17,42.79,42.99,40.64,42.40,19790000,21.20
2010-09-16,42.43,42.83,40.87,41.88,23481000,20.94
2010-09-15,41.67,43.12,40.73,42.82,15859000,21.41
2010-09-14,42.25,43.25,41.58,42.01,20706200,21.00
2010-09-13,41.04,42.95,40.80,42.47,20199800,21.24
2010-09-10,39.78,40.40,39.01,39.66,23994400,19.83
2010-09-09,41.04,41.08,38.42,39.31,29615200,19.66
2010-09-08,38.83,40.13,38.75,39.21,26020400,19.60
2010-09-07,40.45,40.47,38.13,38.51,30820000,19.25
2010-09-03,40.52,41.21,39.50,40.76,31439600,20.38
2010-09-02,37.49,39.07,37.11,38.77,24906800,19.39
2010-09-01,35.37,37.59,35.03,37.49,35501800,18.75
2010-08-31,33.62,34.88,32.83,33.76,46230600,16.88
2010-08-30,35.67,36.27,33.84,33.87,30865600,16.93
2010-08-27,34.77,36.42,32.73,36.30,42299600,18.15
2010-08-26,34.75,35.65,33.22,33.58,33186000,16.79
2010-08-25,32.08,34.61,31.75,34.39,40422200,17.19
2010-08-24,32.51,34.06,31.50,32.93,39719000,16.47
2010-08-23,36.32,36.85,34.02,34.06,32775600,17.03
2010-08-20,35.05,35.59,33.82,35.48,34789600,17.74
2010-08-19,38.16,38.49,35.18,35.50,42763000,17.75
2010-08-18,38.11,39.68,37.00,38.53,30770600,19.26
2010-08-17,37.54,39.16,36.92,38.23,31121400,19.11
2010-08-16,34.79,37.01,34.37,36.34,29336200,18.17
2010-08-13,36.31,36.61,35.35,35.49,27900200,17.75
2010-08-12,35.15,37.50,35.03,36.71,34956800,18.35
2010-08-11,39.75,39.79,37.06,37.41,39553000,18.70
2010-08-10,43.48,43.89,41.32,42.36,36590000,21.18
2010-08-09,44.35,45.29,43.39,44.80,18160800,22.40
2010-08-06,42.01,43.94,40.80,43.35,30291400,21.67
2010-08-05,44.43,45.56,44.01,44.11,19615800,22.06
2010-08-04,45.05,46.07,44.50,45.69,23038600,22.84
2010-08-03,44.93,46.19,43.25,44.33,21201400,22.17
2010-08-02,45.49,46.19,44.30,45.31,21361800,22.66
2010-07-30,41.38,44.34,40.81,43.25,25310600,21.62
2010-07-29,44.54,45.16,41.07,43.08,30389400,21.54
2010-07-28,45.52,46.09,42.69,43.44,21377200,21.72
2010-07-27,47.47,47.85,45.19,45.64,23392800,22.82
2010-07-26,43.80,46.29,43.14,46.23,20684000,23.11
2010-07-23,39.65,43.44,39.32,43.24,30408600,21.62
2010-07-22,38.07,40.68,38.04,40.30,25160400,20.15
2010-07-21,39.40,39.60,36.12,36.43,30520800,18.22
2010-07-20,35.10,38.66,34.63,38.41,25447200,19.20
2010-07-19,36.57,36.92,34.56,36.55,23904000,18.27
2010-07-16,39.70,39.95,35.87,36.25,34145800,18.12
2010-07-15,41.99,42.02,39.14,40.63,26834400,20.32
2010-07-14,41.88,42.60,40.80,41.73,21872600,20.86
2010-07-13,40.21,42.66,39.75,42.17,26231400,21.08
2010-07-12,39.59,40.40,37.44,38.64,23009200,19.32
2010-07-09,38.19,39.87,37.77,39.84,20471200,19.92
2010-07-08,37.82,38.44,36.50,38.12,28524200,19.06
2010-07-07,33.45,36.65,33.45,36.53,27067000,18.26
2010-07-06,36.39,37.25,32.52,33.19,31391800,16.59
2010-07-02,36.20,36.44,33.87,34.54,28462200,17.27
2010-07-01,36.62,36.97,32.92,35.65,46151600,17.83
2010-06-30,37.45,39.18,36.08,36.46,28429800,18.23
